Date,Time,Lon,Lat,Temp (degrees),PMC 1.0 (ug/m3),PMC 2.5 (ug/m3),PMC 10.0 (ug/m3),Turbidity LDR voltage
20-07-29,11:30:10,-5.05187,50.163785,15.75,0,0,0,1.843359375
20-07-29,11:30:11,-5.051876666666667,50.16377833333333,15.75,0,0,0,1.84013671875
20-07-29,11:30:12,-5.0518833333333335,50.16377333333333,15.75,0,0,0,1.843359375
20-07-29,11:30:13,-5.05189,50.16376833333333,15.75,0,0,0,1.8304687499999999
20-07-29,11:30:14,-5.051895,50.163765000000005,15.75,0,0,0,1.8240234375
20-07-29,11:30:15,-5.051901666666667,50.16376166666666,15.75,0,0,0,1.82080078125
20-07-29,11:30:16,-5.0519066666666665,50.163759999999996,15.75,0,0,0,1.8240234375
20-07-29,11:30:17,-5.0519099999999995,50.16375833333333,15.6875,0,0,0,1.8240234375
20-07-29,11:30:18,-5.051913333333333,50.16375666666666,15.6875,0,0,0,1.8240234375
20-07-29,11:30:19,-5.051915,50.163755,15.6875,0,0,0,1.8240234375
20-07-29,11:30:20,-5.051918333333333,50.16375166666667,15.6875,0,0,0,1.8240234375
20-07-29,11:30:22,-5.0519300000000005,50.16374666666667,15.6875,0,0,0,1.8240234375
20-07-29,11:30:23,-5.051935,50.163743333333336,15.6875,0,0,0,1.8240234375
20-07-29,11:30:24,-5.05194,50.16373833333334,15.625,0,0,0,1.8240234375
20-07-29,11:30:25,-5.051946666666667,50.163734999999996,15.625,0,0,0,1.8240234375
20-07-29,11:30:26,-5.051951666666667,50.16372833333333,15.6875,0,0,0,1.8240234375
20-07-29,11:30:27,-5.051956666666666,50.16372333333333,15.6875,0,0,0,1.8240234375
20-07-29,11:30:28,-5.051961666666666,50.16371666666666,15.6875,0,0,0,1.8143554687499999
20-07-29,11:30:29,-5.051966666666667,50.16371166666666,15.6875,0,0,0,1.8336914062499998
20-07-29,11:30:30,-5.051971666666667,50.163705,15.6875,0,0,0,1.82724609375
20-07-29,11:30:31,-5.051975,50.1637,15.6875,0,0,0,1.85947265625
20-07-29,11:30:32,-5.051981666666666,50.163695000000004,15.75,0,0,0,1.82724609375
20-07-29,11:30:33,-5.051986666666667,50.16369166666666,15.75,0,0,0,1.8240234375
20-07-29,11:30:34,-5.051991666666667,50.16368666666666,15.75,0,0,0,1.8369140625
20-07-29,11:30:35,-5.051996666666667,50.16368,15.75,0,0,0,1.8175781249999998
20-07-29,11:30:36,-5.0520016666666665,50.163675,15.75,0,0,0,1.84013671875
20-07-29,11:30:37,-5.052006666666666,50.16367,15.75,0,0,0,1.8304687499999999
20-07-29,11:30:38,-5.052013333333333,50.163665,15.75,0,0,0,1.8304687499999999
20-07-29,11:30:39,-5.052018333333334,50.16366,15.75,0,0,15,1.8304687499999999
20-07-29,11:30:40,-5.052025,50.163655,15.75,0,0,7,1.8304687499999999
20-07-29,11:30:41,-5.052031666666666,50.16365,15.75,0,0,5,1.8304687499999999
20-07-29,11:30:42,-5.052038333333333,50.163645,15.75,0,1,5,1.8304687499999999
20-07-29,11:30:43,-5.052043333333334,50.16364,15.75,1,2,5,1.8304687499999999
20-07-29,11:30:44,-5.05205,50.163635,15.75,1,1,4,1.8304687499999999
20-07-29,11:30:45,-5.052055,50.16362833333334,15.75,1,1,3,1.8304687499999999
20-07-29,11:30:47,-5.052066666666667,50.16361833333333,15.75,0,1,2,1.8304687499999999
20-07-29,11:30:48,-5.0520716666666665,50.16361166666667,15.75,0,1,2,1.8336914062499998
20-07-29,11:30:49,-5.052076666666666,50.16360666666667,15.75,0,1,2,1.8336914062499998
20-07-29,11:30:50,-5.052081666666667,50.16360166666666,15.75,0,1,2,1.8336914062499998
20-07-29,11:30:51,-5.052086666666667,50.163595,15.75,0,1,2,1.85302734375
20-07-29,11:30:52,-5.0520933333333335,50.16359,15.75,0,1,2,1.8304687499999999
20-07-29,11:30:54,-5.052103333333333,50.163578333333334,15.75,0,1,2,1.8336914062499998
20-07-29,11:30:59,-5.052131666666667,50.16355,15.75,0,0,0,1.8175781249999998
20-07-29,11:31:00,-5.052136666666667,50.16354333333334,15.75,1,1,1,1.8175781249999998
20-07-29,11:31:01,-5.052143333333333,50.16353833333334,15.75,0,0,0,1.8175781249999998
20-07-29,11:31:04,-5.052163333333334,50.16352333333333,15.75,0,0,0,1.8175781249999998
20-07-29,11:31:05,-5.052169999999999,50.16351833333334,15.75,0,0,0,1.8175781249999998
20-07-29,11:31:06,-5.052176666666667,50.16351333333333,15.6875,0,0,2,1.8175781249999998
20-07-29,11:31:07,-5.052181666666667,50.16350666666666,15.6875,0,0,2,1.8369140625
20-07-29,11:31:09,-5.052196666666667,50.16349666666667,15.6875,0,0,2,1.8369140625
20-07-29,11:31:10,-5.052205000000001,50.16349166666666,15.6875,0,0,2,1.8336914062499998
20-07-29,11:31:11,-5.0522116666666665,50.16348666666666,15.6875,0,0,2,1.87236328125
20-07-29,11:31:12,-5.052216666666666,50.16348,15.6875,0,0,2,1.8336914062499998
20-07-29,11:31:13,-5.052223333333333,50.163475,15.6875,0,0,2,1.843359375
20-07-29,11:31:14,-5.052228333333334,50.16346833333333,15.6875,0,0,2,1.8336914062499998
20-07-29,11:31:15,-5.052235,50.16346333333333,15.6875,0,0,2,1.85302734375
20-07-29,11:31:16,-5.052241666666666,50.16345833333333,15.6875,0,0,2,1.85625
20-07-29,11:31:17,-5.052248333333333,50.16345333333334,15.6875,0,0,2,1.8369140625
20-07-29,11:31:18,-5.052253333333334,50.16344833333334,15.6875,0,0,2,1.8369140625
20-07-29,11:31:22,-5.052273333333333,50.163425,15.6875,0,0,0,1.8369140625
20-07-29,11:31:23,-5.052278333333334,50.16342,15.6875,0,1,1,1.8369140625
20-07-29,11:31:24,-5.052281666666667,50.16341333333333,15.6875,1,1,1,1.8369140625
20-07-29,11:31:25,-5.052286666666666,50.16340833333334,15.6875,1,1,1,1.8369140625
20-07-29,11:31:26,-5.05229,50.16340333333334,15.6875,1,1,1,1.8369140625
20-07-29,11:31:27,-5.052295,50.16339833333333,15.6875,1,1,1,1.8369140625
20-07-29,11:31:28,-5.0523,50.16339333333333,15.6875,1,1,1,1.8369140625
20-07-29,11:31:29,-5.0523066666666665,50.16339,15.6875,1,1,1,1.8304687499999999
20-07-29,11:31:30,-5.052311666666666,50.163385,15.6875,1,1,1,1.85947265625
20-07-29,11:31:31,-5.052318333333333,50.16338166666666,15.6875,1,1,1,1.8336914062499998
20-07-29,11:31:32,-5.052323333333334,50.16337666666666,15.6875,1,1,1,1.869140625
20-07-29,11:31:33,-5.0523283333333335,50.16337166666667,15.6875,1,1,1,1.8304687499999999
20-07-29,11:31:34,-5.052335,50.16336666666667,15.6875,1,1,1,1.8336914062499998
20-07-29,11:31:35,-5.05234,50.16336,15.75,1,1,1,1.8336914062499998
20-07-29,11:31:36,-5.052346666666667,50.163354999999996,15.75,1,1,1,1.8336914062499998
20-07-29,11:31:37,-5.0523533333333335,50.16335,15.75,1,1,1,1.8240234375
20-07-29,11:31:38,-5.05236,50.16334666666667,15.75,1,1,1,1.8240234375
20-07-29,11:31:39,-5.052366666666667,50.16334333333333,15.75,0,0,0,1.8240234375
20-07-29,11:31:40,-5.052371666666667,50.16333833333334,15.75,0,0,0,1.8240234375
20-07-29,11:31:41,-5.052378333333333,50.16333333333333,15.75,0,0,0,1.8240234375
20-07-29,11:31:42,-5.052383333333333,50.16332833333333,15.75,0,0,0,1.8240234375
20-07-29,11:31:43,-5.05239,50.16332333333333,15.8125,0,0,0,1.8240234375
20-07-29,11:31:47,-5.052413333333333,50.163306666666664,15.875,0,1,1,1.8304687499999999
20-07-29,11:31:48,-5.05242,50.16330333333333,15.875,0,1,1,1.8659179687499998
20-07-29,11:31:49,-5.052426666666666,50.16329833333333,15.875,0,1,1,1.82724609375
20-07-29,11:31:50,-5.052433333333333,50.16329333333334,15.875,0,1,1,1.8626953124999999
